episode_id,instruction,instruction_task_family,instruction_room_mentions,instruction_classification_rules,source_labels,source_paths,source_task_families,n_rollout_rows
125,Help me tidy up the bedroom. Move the toy vehicle and toy animal from the chest of drawers to the table. Place them next to each other. Leave the toy construction set where it is.,Collaborative Household,bedroom,help_me;household:\btidy\b;temporal:\bnext\b;actions:2;object_complexity:1,Exp0425_stability_perturbations;Exp0428_GE_supplement;Exp0428_stability_perturbations;Exp0430_GE_formal;discovered:ge_capacity_validity,Data_Exper\Exp0425\exper1\2026-04-23_06-45-59-val_mini.json\results\expq1\stability_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\ge_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\stability_validity\raw_rollouts.csv;Data_Exper\Exp0430\2026-04-30_04-07-07-val_mini.json\results\expq1_ge\ge_capacity_validity\raw_rollouts.csv;Data_Exper\Exp_GE\2026-04-29_15-39-48-val_mini.json\results\expq1_ge\ge_capacity_validity\raw_rollouts.csv,spatial_relation,31
126,"Help me create a relaxing atmosphere in the living room. Place the phone and phone stand on the coffee table, next to each other.",Collaborative Household,living room,help_me;household:\brelaxing atmosphere\b;temporal:\bnext\b;actions:1;object_complexity:2,Exp0425_rebound_perturbations;Exp0425_stability_perturbations;Exp0428_GE_supplement;Exp0428_rebound_perturbations;Exp0428_stability_perturbations;Exp0430_GE_formal;discovered:rebound_validity,Data_Exper\Exp0425\exper1\2026-04-23_06-45-59-val_mini.json\results\expq1\rebound_validity\raw_rollouts.csv;Data_Exper\Exp0425\exper1\2026-04-23_06-45-59-val_mini.json\results\expq1\stability_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\ge_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\rebound_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\stability_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_15-52-44-val_mini.json\results\expq1\rebound_validity\raw_rollouts.csv;Data_Exper\Exp0430\2026-04-30_04-07-07-val_mini.json\results\expq1_ge\ge_capacity_validity\raw_rollouts.csv,spatial_relation,46
129,"Help me set the table for 2 people in the dining room. Place 2 plates, 2 glasses, and 2 forks at each setting, and make sure to place them next to each other.",Collaborative Household,dining room,help_me;household:\bset the table\b;household:\bat each setting\b;temporal:\bnext\b;actions:2;object_complexity:8,Exp0425_stability_perturbations;Exp0428_GE_supplement;Exp0428_stability_perturbations;Exp0430_GE_formal,Data_Exper\Exp0425\exper1\2026-04-23_06-45-59-val_mini.json\results\expq1\stability_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\ge_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\stability_validity\raw_rollouts.csv;Data_Exper\Exp0430\2026-04-30_04-07-07-val_mini.json\results\expq1_ge\ge_capacity_validity\raw_rollouts.csv,spatial_relation,25
1,Help me move the cushion from the bedroom chair to the living room chair. Move the toy construction set from the bedroom table to the living room table.,Multi-room Rearrangement,bedroom|living room,help_me;rooms:bedroom|living room;actions:2,Exp0425_stability_perturbations;Exp0428_GE_supplement;Exp0428_stability_perturbations;Exp0430_GE_formal,Data_Exper\Exp0425\exper1\2026-04-23_06-45-59-val_mini.json\results\expq1\stability_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\ge_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\stability_validity\raw_rollouts.csv;Data_Exper\Exp0430\2026-04-30_04-07-07-val_mini.json\results\expq1_ge\ge_capacity_validity\raw_rollouts.csv,placement_only,25
9,Take the credit card from the hallway to the bedroom and put it on the bedside table.,Multi-room Rearrangement,bedroom|hallway,rooms:bedroom|hallway;actions:2;object_complexity:1,Exp0425_stability_perturbations;Exp0428_GE_supplement;Exp0428_stability_perturbations;Exp0430_GE_formal,Data_Exper\Exp0425\exper1\2026-04-23_06-45-59-val_mini.json\results\expq1\stability_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\ge_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\stability_validity\raw_rollouts.csv;Data_Exper\Exp0430\2026-04-30_04-07-07-val_mini.json\results\expq1_ge\ge_capacity_validity\raw_rollouts.csv,placement_only,25
81,Move the stuffed toy and toy pineapple from the dining room to the living room. Place them on a chair.,Multi-room Rearrangement,dining room|living room,rooms:dining room|living room;actions:2;object_complexity:1,Exp0425_rebound_perturbations;Exp0428_GE_supplement;Exp0428_rebound_perturbations;Exp0430_GE_formal;discovered:rebound_validity,Data_Exper\Exp0425\exper1\2026-04-23_06-45-59-val_mini.json\results\expq1\rebound_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\ge_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\rebound_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_15-52-44-val_mini.json\results\expq1\rebound_validity\raw_rollouts.csv;Data_Exper\Exp0430\2026-04-30_04-07-07-val_mini.json\results\expq1_ge\ge_capacity_validity\raw_rollouts.csv,placement_only,34
128,"First, move the phone from the living room table to the bedroom table. Then, take the backpack and ball from the living room chest of drawers to the bedroom chest of drawers and place them next to each other.",Multi-room Rearrangement,bedroom|living room,temporal:\bfirst\b;temporal:\bthen\b;temporal:\bnext\b;rooms:bedroom|living room;actions:3;object_complexity:4,Exp0425_rebound_perturbations;Exp0428_rebound_perturbations,Data_Exper\Exp0425\exper1\2026-04-23_06-45-59-val_mini.json\results\expq1\rebound_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_15-52-44-val_mini.json\results\expq1\rebound_validity\raw_rollouts.csv,mixed_temporal,18
168,Help me move the toy fire truck and the toy bee from the bedroom to the kitchen counter. Place them next to each other.,Multi-room Rearrangement,bedroom|kitchen,help_me;temporal:\bnext\b;rooms:bedroom|kitchen;actions:2;object_complexity:1,Exp0428_GE_supplement,Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\ge_validity\raw_rollouts.csv,spatial_relation,7
237,"First, move the plant from the bedroom to the living room and place it on the coffee table. Then relocate the plant from the coffee table to the shelves in the laundry room.",Multi-room Rearrangement,bedroom|laundry room|living room,temporal:\bfirst\b;temporal:\bthen\b;temporal:\brelocate\b;rooms:bedroom|laundry room|living room;actions:3;object_complexity:2,Exp0428_GE_supplement,Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\ge_validity\raw_rollouts.csv,mixed_temporal,7
127,Move the sushi mat from the kitchen counter to the living room table.,Navigation,kitchen|living room,rooms:kitchen|living room;actions:1,Exp0425_rebound_perturbations;Exp0425_stability_perturbations;Exp0428_GE_supplement;Exp0428_rebound_perturbations;Exp0428_stability_perturbations;Exp0430_GE_formal;discovered:ge_capacity_validity;discovered:rebound_validity,Data_Exper\Exp0425\exper1\2026-04-23_06-45-59-val_mini.json\results\expq1\rebound_validity\raw_rollouts.csv;Data_Exper\Exp0425\exper1\2026-04-23_06-45-59-val_mini.json\results\expq1\stability_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\ge_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\rebound_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\stability_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_15-52-44-val_mini.json\results\expq1\rebound_validity\raw_rollouts.csv;Data_Exper\Exp0430\2026-04-30_04-07-07-val_mini.json\results\expq1_ge\ge_capacity_validity\raw_rollouts.csv;Data_Exper\Exp_GE\2026-04-28_13-43-02-val_mini.json\results\expq1_ge\ge_capacity_validity\raw_rollouts.csv,placement_only,53
11,"Put the mug, squeezer, and toy food on the bench in the entryway.",Object Transport,entryway,actions:1;object_complexity:3,Exp0425_rebound_perturbations;Exp0428_GE_supplement;Exp0428_rebound_perturbations;Exp0430_GE_formal;discovered:rebound_validity,Data_Exper\Exp0425\exper1\2026-04-23_06-45-59-val_mini.json\results\expq1\rebound_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\ge_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\rebound_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_15-52-44-val_mini.json\results\expq1\rebound_validity\raw_rollouts.csv;Data_Exper\Exp0430\2026-04-30_04-07-07-val_mini.json\results\expq1_ge\ge_capacity_validity\raw_rollouts.csv,placement_only,34
60,"Move the sushi mat, ramekin, and spoon from the dining room table to the entryway table.",Object Transport,dining room|entryway,rooms:dining room|entryway;actions:1;object_complexity:3,Exp0425_stability_perturbations;Exp0428_GE_supplement;Exp0428_stability_perturbations;Exp0430_GE_formal,Data_Exper\Exp0425\exper1\2026-04-23_06-45-59-val_mini.json\results\expq1\stability_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\ge_validity\raw_rollouts.csv;Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\stability_validity\raw_rollouts.csv;Data_Exper\Exp0430\2026-04-30_04-07-07-val_mini.json\results\expq1_ge\ge_capacity_validity\raw_rollouts.csv,placement_only,25
73,Move the toy fire truck and the stuffed toys to new chest of drawers. Move the ball to another chest of drawers.,Object Transport,,actions:2;object_complexity:2,Exp0428_GE_supplement,Data_Exper\Exp0428\2026-04-27_09-53-39-val_mini.json\results\expq1\ge_validity\raw_rollouts.csv,placement_only,7
