action_sequence,degradation_auc_loss,degradation_l_bd,degradation_p_cliff,episode_id,ge_audc_f,ge_boundary_hit,ge_boundary_lambda_star,ge_cell_missing_reason,ge_cell_valid,ge_contract_margin_min,ge_hard_boundary_hit,ge_valid_lambda_coverage,instruction,rebound_baseline_loaded,rebound_baseline_match_level,rebound_c_rec,rebound_c_rec_cog,rebound_c_rec_missing_reason,rebound_c_rec_phy,rebound_c_rec_plan,rebound_c_rec_sim,rebound_c_rec_state_debt,rebound_c_rec_valid,rebound_formal_window_count,rebound_g_rec_total,rebound_num_recovery_windows,rebound_raw_window_count,rebound_skipped_window_count,rebound_tracker_window_count,rebound_tracker_window_open_final,rebound_w_rem_star,replanning_count_0,replanning_count_1,run_id,runtime,sim_step_count,stability_beta,stability_beta_action,stability_beta_neighborhood,stability_beta_neighborhood_missing_reason,stability_beta_neighborhood_valid,stability_beta_out,stability_beta_progress,stability_beta_scope,stability_beta_success,stability_beta_vv,stability_clean_ref_strategy,stability_clean_ref_valid,stability_n_clean_ref,stability_p_cbf,stability_value_delta_variance,task_percent_complete,task_state_success
"agent0:PerceptionScanTool[None]|agent1:Wait[None]|agent0:Wait[None]|agent1:Wait[None]|agent0:Explore[living_room_1]|agent1:Wait[None]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_fire_truck_0, chest_of_drawers_36]|agent1:Wait[None]|agent0:Pick[toy_fire_truck_0]|agent1:Wait[None]|agent0:Navigate[bedroom_1]|agent1:Wait[None]|agent0:Pick[toy_fire_truck_0]|agent1:Wait[None]|agent0:Place[toy_fire_truck_0, on, chest_of_drawers_36]|agent1:Wait[None]|agent0:Place[toy_fire_truck_0, on, chest_of_drawers_36]|agent1:Wait[None]|agent0:Place[toy_fire_truck_0, on, chest_of_drawers_36, None, None]|agent1:Wait[None]|agent0:Navigate[chest_of_drawers_36]|agent1:Wait[None]|agent0:Place[toy_fire_truck_0, on, chest_of_drawers_36]|agent1:Wait[None]|agent0:Place[toy_fire_truck_0, on, chest_of_drawers_36]|agent1:Wait[None]|agent0:Place[toy_fire_truck_0, on, chest_of_drawers_36, None, None]|agent1:Wait[None]|agent0:Pick[toy_food_1]|agent1:Wait[None]|agent0:Navigate[chest_of_drawers_37]|agent1:Wait[None]|agent0:Pick[toy_food_1]|agent1:Wait[None]|agent0:Place[toy_food_1, on, chest_of_drawers_36]|agent1:Wait[None]|agent0:Place[toy_food_1, on, chest_of_drawers_36]|agent1:Wait[None]|agent0:Place[toy_food_1, on, chest_of_drawers_37]|agent1:Wait[None]|agent0:Navigate[chest_of_drawers_38]|agent1:Wait[None]|agent0:Pick[toy_food_2]|agent1:Wait[None]|agent0:Place[toy_food_1, on, chest_of_drawers_38]|agent1:Wait[None]|agent0:Place[toy_food_1, on, chest_of_drawers_37]|agent1:Wait[None]|agent0:Place[toy_food_1, on, chest_of_drawers_37]|agent1:Wait[None]|agent0:Navigate[chest_of_drawers_37]|agent1:Wait[None]|agent0:Place[toy_food_1, on, chest_of_drawers_36]|agent1:Wait[None]|agent0:Rearrange[toy_food_2, on, chest_of_drawers_36, None, None]|agent1:Wait[None]|agent0:Place[toy_food_1, on, floor_bedroom_1]|agent1:Wait[None]|agent0:Navigate[chest_of_drawers_36]|agent1:Wait[None]|agent0:Place[toy_food_1, on, chest_of_drawers_36, None, None]|agent1:Wait[None]|agent0:Pick[toy_food_2]|agent1:Wait[None]|agent0:Navigate[chest_of_drawers_37]|agent1:Wait[None]|agent0:Pick[toy_food_2]|agent1:Wait[None]|agent0:Place[toy_food_2, on, chest_of_drawers_37, None, None]|agent1:Wait[None]|agent0:Pick[stuffed_toy_4]|agent1:Wait[None]|agent0:Navigate[chest_of_drawers_38]|agent1:Wait[None]|agent0:Pick[stuffed_toy_4]|agent1:Wait[None]|agent0:Navigate[bed_22]|agent1:Wait[None]|agent0:Place[stuffed_toy_4, on, bed_22, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",2414.0,,1.0,79,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the toy fire truck to the chest of drawers. Put the toy food items in a new chest of drawers. Place the stuffed toy on the bed.,1.0,exact,97.84499870125833,183.14791203941695,,164.45519775711432,,,0.0,1.0,11.0,1364.6873130879437,11.0,11.0,0.0,11.0,0.0,13.363636363636363,42.0,42.0,0,848.6151671409607,2408.0,0.5617871077099501,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,8.425672422163188e-05,0.6,0.0
"agent0:Explore[kitchen_1]|agent1:Wait[None]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Pick[sushi_mat]|agent1:Wait[None]|agent0:Pick[sushi_mat_0]|agent1:Wait[None]|agent0:Place[sushi_mat_0, on, table_14]|agent1:Wait[None]|agent0:Place[sushi_mat_0, on, table_14, None, None]|agent1:Wait[None]|agent0:Navigate[living_room_1]|agent1:Wait[None]|agent0:Place[sushi_mat_0, on, table_14, None, None]|agent1:Wait[None]|agent0:Place[sushi_mat_0, on, table_15, None, None]|agent1:Wait[None]|agent0:Explore[living_room_1]|agent1:Wait[None]|agent0:Place[sushi_mat_0, on, table_14, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",1891.0,,1.0,127,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the sushi mat from the kitchen counter to the living room table.,1.0,exact,34.227533714853536,61.210523094182996,,59.999996842105425,,,0.0,1.0,3.0,650.323174809751,3.0,3.0,0.0,3.0,0.0,19.0,12.0,12.0,0,286.2400588989258,1890.0,0.8027694054835588,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.0020110392943024635,1.0,1.0
"agent0:Rearrange[toy_food, chest_of_drawers_37]|agent1:Rearrange[toy_fire_truck, chest_of_drawers_37]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_food_1, chest_of_drawers_36, on, None]|agent1:Rearrange[toy_fire_truck_0, chest_of_drawers_36, on, None]|agent0:Rearrange[toy_food_1, on, chest_of_drawers_36, None, None]|agent1:Rearrange[toy_fire_truck_0, on, chest_of_drawers_36, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_fire_truck_0, on, chest_of_drawers_36, None, None]|agent0:Done[None]|agent1:Done[None]",1047.0,,1.0,78,0.0,0.0,,,0.0,0.0,0.0,0.0,Put the toy food and the toy fire truck on the other chest of drawers in the bedroom.,1.0,exact,25.911438894490242,47.658769421468264,,41.6315767562328,,,0.19298244598338005,1.0,1.0,492.31736490675354,1.0,1.0,0.0,1.0,0.0,19.0,6.0,6.0,0,149.26503372192383,1044.0,0.7328428924436898,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,11.0,0.011203637346625328,1.0,1.0
"agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Rearrange[sushi_mat_0, table_29]|agent1:Rearrange[ramekin_1, table_29]|agent0:Rearrange[sushi_mat_0, on, table_29, None, None]|agent1:Rearrange[ramekin_1, on, table_29, None, None]|agent0:Wait[None]|agent1:Rearrange[ramekin_1, on, table_29, None, None]|agent0:Wait[None]|agent1:Wait[None]|agent0:Rearrange[spoon_2, on, table_29, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",1415.0,,1.0,60,0.0,0.0,,,0.0,0.0,0.0,0.0,"Move the sushi mat, ramekin, and spoon from the dining room table to the entryway table.",1.0,exact,27.36938425531939,58.185084656925355,,25.105261836565166,,,1.1052630997229944,1.0,1.0,520.0183282204526,1.0,1.0,0.0,1.0,0.0,19.0,7.0,7.0,0,229.80187058448792,1412.0,0.73069361455372,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,63.0,0.0013996395282447338,1.0,1.0
"agent0:Rearrange[stuffed_toy_0, chair_32]|agent1:Rearrange[toy_pineapple_0, chair_32]|agent0:Rearrange[stuffed_toy_0, on, chair_32]|agent1:Rearrange[toy_pineapple_0, on, chair_32]|agent0:Rearrange[stuffed_toy_0, on, chair_32, None, None]|agent1:Rearrange[toy_pineapple_0, on, chair_32, None, None]|agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Rearrange[stuffed_toy_0, on, chair_32, None, None]|agent1:Wait[None]|agent0:Rearrange[toy_pineapple_1, on, chair_33, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",1129.0,,1.0,81,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the stuffed toy and toy pineapple from the dining room to the living room. Place them on a chair.,1.0,exact,214.41458822915678,412.9997935001031,,302.4998487500756,,,0.0,1.0,1.0,428.8293908729018,1.0,1.0,0.0,1.0,0.0,2.0,7.0,7.0,0,154.0777485370636,1125.0,0.7919128817785629,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.0010589287849143147,1.0,1.0
"agent0:Wait[None]|agent1:Wait[None]|agent0:Rearrange[kettle, stool_18]|agent1:Rearrange[potato, stool_19]|agent0:Wait[None]|agent1:Wait[None]|agent0:Rearrange[kettle, on, stool_18, None, None]|agent1:Rearrange[potato, on, stool_19, None, None]|agent0:Explore[kitchen_1]|agent1:Wait[None]|agent0:Rearrange[kettle_0, on, stool_18, None, None]|agent1:Rearrange[potato_1, on, stool_19, None, None]|agent0:Wait[None]|agent1:Rearrange[potato_1, on, stool_19, None, None]|agent0:Done[None]|agent1:Done[None]",1432.0,,1.0,80,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the kettle and potato from the counter to the stool in the kitchen.,1.0,exact,251.1611029031867,448.9997755001122,,439.99978000011,,,0.0,1.0,1.0,502.32245696747634,1.0,1.0,0.0,1.0,0.0,2.0,8.0,8.0,0,198.81346035003662,1427.0,0.7627888717549103,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,70.0,0.0006362592685036361,1.0,1.0
"agent0:Rearrange[cushion, chair_28]|agent1:Rearrange[toy construction set, table_10]|agent0:Explore[bedroom_1]|agent1:Explore[bedroom_1]|agent0:Explore[bedroom_2]|agent1:Wait[None]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Navigate[bedroom_1]|agent1:Wait[None]|agent0:Pick[toy construction set]|agent1:Wait[None]|agent0:Rearrange[cushion_0, on, chair_28, None, None]|agent1:Wait[None]|agent0:Rearrange[toy_construction_set_1, on, table_10, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",2534.0,,1.0,1,0.0,0.0,,,0.0,0.0,0.0,0.0,Help me move the cushion from the bedroom chair to the living room chair. Move the toy construction set from the bedroom table to the living room table.,1.0,exact,37.09791120584789,40.94736626592809,,75.42104866205007,,,1.0877192409972325,1.0,1.0,704.8603500090212,1.0,1.0,0.0,1.0,0.0,19.0,10.0,10.0,0,517.4260025024414,2531.0,0.7104781230029453,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,62.0,0.0005383087554946542,1.0,1.0
"agent0:Explore[entryway_1]|agent1:Wait[None]|agent0:Explore[living_room_1]|agent1:Wait[None]|agent0:Navigate[table_30]|agent1:Wait[None]|agent0:Pick[squeezer_1]|agent1:Wait[None]|agent0:Navigate[entryway_1]|agent1:Wait[None]|agent0:Place[squeezer_1, on, bench_51]|agent1:Wait[None]|agent0:Place[squeezer_1, on, bench_51, None, None]|agent1:Wait[None]|agent0:Pick[toy_food_2]|agent1:Wait[None]|agent0:Navigate[table_30]|agent1:Wait[None]|agent0:Pick[toy_food_2]|agent1:Wait[None]|agent0:Navigate[entryway_1]|agent1:Wait[None]|agent0:Place[toy_food_2, on, bench_51, None, None]|agent1:Wait[None]|agent0:Navigate[table_30]|agent1:Wait[None]|agent0:Pick[cup_0]|agent1:Wait[None]|agent0:Navigate[entryway_1]|agent1:Wait[None]|agent0:Place[cup_0, on, bench_51, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",2823.0,,1.0,11,0.0,0.0,,,0.0,0.0,0.0,0.0,"Put the mug, squeezer, and toy food on the bench in the entryway.",1.0,exact,83.5672537245228,148.52718516523586,,146.84209753462642,,,0.0,1.0,6.0,1587.7779043331866,6.0,6.0,0.0,6.0,0.0,19.0,17.0,17.0,0,702.3737316131592,2822.0,0.7780905656547898,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.0009669458959251642,1.0,1.0
"agent0:Explore[hallway_1]|agent1:Wait[None]|agent0:Rearrange[credit_card_0, bedroom_1]|agent1:Wait[None]|agent0:Navigate[hallway_1]|agent1:Wait[None]|agent0:Pick[credit_card_0]|agent1:Wait[None]|agent0:Navigate[bedroom_1]|agent1:Wait[None]|agent0:Navigate[bed_45]|agent1:Wait[None]|agent0:Place[credit_card_0, on, table_22, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",454.0,,1.0,9,0.0,0.0,,,0.0,0.0,0.0,0.0,Take the credit card from the hallway to the bedroom and put it on the bedside table.,1.0,exact,13.395003447089312,24.2114022344876,,23.263156670360175,,,0.0,1.0,2.0,254.50507888970043,2.0,2.0,0.0,2.0,0.0,19.0,8.0,8.0,0,97.70818519592285,453.0,0.5326057534060419,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.004604678135365248,1.0,1.0
"agent0:Wait[None]|agent1:Wait[None]|agent0:Explore[living_room_1]|agent1:Wait[None]|agent0:Rearrange[cellphone_0, table_14]|agent1:Rearrange[phone_stand_1, table_14]|agent0:Rearrange[cellphone_0, on, table_14, next_to, None]|agent1:Rearrange[phone_stand_1, on, table_14, next_to, cellphone_0]|agent0:Wait[None]|agent1:Wait[None]|agent0:Pick[cellphone_0]|agent1:Wait[None]|agent0:Navigate[living_room_1]|agent1:Wait[None]|agent0:Pick[cellphone_0]|agent1:Wait[None]|agent0:Navigate[table_15]|agent1:Wait[None]|agent0:Pick[cellphone_0]|agent1:Wait[None]|agent0:Place[cellphone_0, on, table_14, None, None]|agent1:Pick[phone_stand_1]|agent0:Navigate[living_room_1]|agent1:Navigate[living_room_1]|agent0:Place[cellphone_0, on, table_14, None, None]|agent1:Pick[phone_stand_1]|agent0:Place[cellphone_0, on, table_15, None, None]|agent1:Navigate[table_15]|agent0:Navigate[table_14]|agent1:Wait[None]|agent0:Place[cellphone_0, on, table_14, None, None]|agent1:Pick[phone_stand_1]|agent0:Wait[None]|agent1:Navigate[table_15]|agent0:Wait[None]|agent1:Pick[phone_stand_1]|agent0:Explore[living_room_1]|agent1:Wait[None]|agent0:Wait[None]|agent1:Pick[phone_stand_1]|agent0:Wait[None]|agent1:Wait[None]|agent0:Wait[None]|agent1:Navigate[table_15]|agent0:Wait[None]|agent1:Pick[phone_stand_1]|agent0:Wait[None]|agent1:Place[phone_stand_1, on, table_14, next_to, cellphone_0]|agent0:Wait[None]|agent1:Navigate[table_14]|agent0:Wait[None]|agent1:Place[phone_stand_1, on, table_14, next_to, cellphone_0]|agent0:Done[None]|agent1:Done[None]",2403.0,,1.0,126,0.0,0.0,,,0.0,0.0,0.0,0.0,"Help me create a relaxing atmosphere in the living room. Place the phone and phone stand on the coffee table, next to each other.",1.0,exact,80.95703957891371,141.69705022278382,,142.57352076497673,,,2.6151959192347984,1.0,9.0,1335.7948343428973,9.0,9.0,0.0,9.0,0.0,16.555555555555557,27.0,27.0,0,621.9888637065887,2398.0,0.7056627930364969,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,132.0,0.0014371146680787206,1.0,1.0
