anchor_id,condition_label,condition_name,degradation_auc_loss,degradation_l_bd,degradation_p_cliff,episode_id,evolve_step,ge_audc_f,ge_boundary_hit,ge_boundary_lambda_star,ge_cell_missing_reason,ge_cell_valid,ge_contract_margin_min,ge_evolve_step_e,ge_hard_boundary_hit,ge_stress_lambda,ge_valid_lambda_coverage,instruction,normalized_cbf_penalty_rate,perturbation_intensity,perturbation_seed,perturbation_type,phase_label,proposition_satisfied_fraction,proposition_satisfied_fraction_source,rebound_baseline_loaded,rebound_baseline_match_level,rebound_c_rec,rebound_c_rec_cog,rebound_c_rec_missing_reason,rebound_c_rec_phy,rebound_c_rec_plan,rebound_c_rec_sim,rebound_c_rec_state_debt,rebound_c_rec_valid,rebound_formal_window_count,rebound_g_rec_total,rebound_num_recovery_windows,rebound_raw_window_count,rebound_skipped_window_count,rebound_tracker_window_count,rebound_tracker_window_open_final,rebound_w_rem_star,replanning_count_0,replanning_count_1,run_id,runtime,safety_collision_rate,safety_score,sim_step_count,stability_beta,stability_beta_action,stability_beta_neighborhood,stability_beta_neighborhood_missing_reason,stability_beta_neighborhood_valid,stability_beta_out,stability_beta_progress,stability_beta_scope,stability_beta_success,stability_beta_vv,stability_clean_ref_strategy,stability_clean_ref_valid,stability_n_clean_ref,stability_p_cbf,stability_value_delta_variance,stress_lambda,subexperiment_name,suite_name,task_family,task_percent_complete,task_state_success,total_step_count,unsafe_rate
80,default,default,1649.0,,1.0,80,0,0.0,0.0,,,0.0,0.0,0,0.0,0.0,0.0,Move the kettle and potato from the counter to the stool in the kitchen.,,1.0,0,clean,main,0.0,task_percent_complete_fallback,1.0,exact,19.490772042630486,22.282050710716618,,38.33333235042738,,,1.2564102241946093,1.0,25.0,760.1401291533608,25.0,25.0,0.0,25.0,0.0,39.0,100.0,100.0,0,622.8742508888245,,,1648.0,0.2546525786108415,0.0,0.25,,1,0.5,1.0,neighborhood_M=2_Pi=2,1.0,0.0,medoid,1,1,164.0,0.002179558388888836,0.0,rebound_validity,expq1,placement_only,0.0,0.0,0,
79,default,default,1144.0,,1.0,79,0,0.0,0.0,,,0.0,0.0,0,0.0,0.0,0.0,Move the toy fire truck to the chest of drawers. Put the toy food items in a new chest of drawers. Place the stuffed toy on the bed.,,1.0,0,clean,main,0.8,task_percent_complete_fallback,1.0,none,0.0,0.0,stage_baseline_segment_missing,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,0,260.9186511039734,,,1143.0,0.6804195804195804,0.0,0.075,,1,0.15,0.09999999999999998,neighborhood_M=2_Pi=2,0.5,0.0,medoid,1,1,80.0,0.15350906550884247,0.0,rebound_validity,expq1,placement_only,0.8,0.0,0,
127,default,default,1364.0,,1.0,127,0,0.0,0.0,,,0.0,0.0,0,0.0,0.0,0.0,Move the sushi mat from the kitchen counter to the living room table.,,1.0,0,clean,main,1.0,task_percent_complete_fallback,1.0,exact,19.725246601820082,35.07692217751482,,34.6666657777778,,,0.0,1.0,3.0,769.2846371962298,3.0,3.0,0.0,3.0,0.0,26.5,7.0,7.0,0,173.0287835597992,,,1363.0,0.7200143356880065,0.0,0.0,,1,0.0,0.0,neighborhood_M=2_Pi=2,0.0,0.0,medoid,1,1,0.0,0.01854228600859642,0.0,rebound_validity,expq1,placement_only,1.0,1.0,0,
78,default,default,890.0,,1.0,78,0,0.0,0.0,,,0.0,0.0,0,0.0,0.0,0.0,Put the toy food and the toy fire truck on the other chest of drawers in the bedroom.,,1.0,0,clean,main,1.0,task_percent_complete_fallback,1.0,exact,17.038832763233025,19.304414063261458,,34.02563884264759,,,0.6068375912776689,1.0,4.0,395.34273669543757,4.0,4.0,0.0,4.0,0.0,24.0,14.0,14.0,0,157.10159945487976,,,887.0,0.48247191011235946,0.0,0.125,,1,0.25,0.5,neighborhood_M=2_Pi=2,0.5,0.0,medoid,1,1,73.0,0.06151361018419266,0.0,rebound_validity,expq1,placement_only,1.0,1.0,0,
81,default,default,1527.0,,1.0,81,0,0.0,0.0,,,0.0,0.0,0,0.0,0.0,0.0,Move the stuffed toy and toy pineapple from the dining room to the living room. Place them on a chair.,,1.0,0,clean,main,1.0,task_percent_complete_fallback,1.0,exact,21.56945632251839,39.05940070787862,,37.23076827613415,,,0.0,1.0,13.0,841.2088181476738,13.0,13.0,0.0,13.0,0.0,39.0,37.0,37.0,0,386.5507161617279,,,1526.0,0.39330359433861894,0.0,0.09375,,1,0.1875,0.25,neighborhood_M=2_Pi=2,0.5,0.0,medoid,1,1,0.0,0.0014446754939854145,0.0,rebound_validity,expq1,placement_only,1.0,1.0,0,
126,default,default,1826.0,,1.0,126,0,0.0,0.0,,,0.0,0.0,0,0.0,0.0,0.0,"Help me create a relaxing atmosphere in the living room. Place the phone and phone stand on the coffee table, next to each other.",,1.0,0,clean,main,1.0,task_percent_complete_fallback,1.0,exact,20.070356373440784,31.687846562058752,,36.937499230468774,,,0.0,1.0,6.0,963.3771259955138,6.0,6.0,0.0,6.0,0.0,48.0,24.0,24.0,0,383.517107963562,,,1821.0,0.5676701098725138,0.0,0.125,,1,0.25,0.5,neighborhood_M=2_Pi=2,0.5,0.0,medoid,1,1,0.0,0.013142413459718227,0.0,rebound_validity,expq1,spatial_relation,1.0,1.0,0,
11,default,default,3684.0,,1.0,11,0,0.0,0.0,,,0.0,0.0,0,0.0,0.0,0.0,"Put the mug, squeezer, and toy food on the bench in the entryway.",,1.0,0,clean,main,1.0,task_percent_complete_fallback,1.0,exact,65.14803121135938,116.29441661568683,partial_formal_windows:stage_baseline_key_missing,107.05125580212022,,,0.6837606662283588,0.0,3.0,1735.2519070550309,3.0,5.0,2.0,5.0,0.0,26.5,21.0,21.0,0,1027.255492925644,,,3683.0,0.743702651648025,0.0,0.0,,1,0.0,0.0,neighborhood_M=2_Pi=2,0.0,0.0,medoid,1,1,96.0,0.003974771127104759,0.0,rebound_validity,expq1,placement_only,1.0,1.0,0,
80,default,default,1079.0,,1.0,80,0,0.0,0.0,,,0.0,0.0,0,0.0,1.0,0.0,Move the kettle and potato from the counter to the stool in the kitchen.,,1.0,0,surface_rewrite,main,1.0,task_percent_complete_fallback,1.0,exact,13.037112324960999,20.65543024744352,,23.93258373185205,,,0.08988763842949128,1.0,3.0,580.1515114978768,3.0,3.0,0.0,3.0,0.0,44.5,15.0,15.0,0,227.56535506248474,,,1077.0,0.635499983675294,0.0,0.25,,1,0.5,1.0,neighborhood_M=2_Pi=2,1.0,0.0,medoid,1,1,12.0,0.004321040585637093,1.0,rebound_validity,expq1,placement_only,1.0,1.0,0,
79,default,default,1999.0,,1.0,79,0,0.0,0.0,,,0.0,0.0,0,0.0,1.0,0.0,Move the toy fire truck to the chest of drawers. Put the toy food items in a new chest of drawers. Place the stuffed toy on the bed.,,1.0,0,surface_rewrite,main,1.0,task_percent_complete_fallback,1.0,exact,29.95788263676549,53.98202003912497,partial_formal_windows:stage_baseline_key_missing,51.9732042740548,,,0.0,0.0,6.0,949.5271331606126,6.0,10.0,4.0,10.0,0.0,23.5,23.0,23.0,0,616.9072067737579,,,1998.0,0.701112436570249,0.0,0.075,,1,0.15,0.09999999999999998,neighborhood_M=2_Pi=2,0.5,0.0,medoid,1,1,0.0,0.001194594893604517,1.0,rebound_validity,expq1,placement_only,1.0,1.0,0,
127,default,default,896.0,,1.0,127,0,0.0,0.0,,,0.0,0.0,0,0.0,1.0,0.0,Move the sushi mat from the kitchen counter to the living room table.,,1.0,0,surface_rewrite,main,1.0,task_percent_complete_fallback,1.0,exact,11.319907705452259,20.123969585229148,,19.887640002524947,,,0.0,1.0,2.0,503.7359042125333,2.0,2.0,0.0,2.0,0.0,44.5,6.0,6.0,0,156.73664331436157,,,895.0,0.8127269973188238,0.0,0.0,,1,0.0,0.0,neighborhood_M=2_Pi=2,0.0,0.0,medoid,1,1,0.0,0.002164567355066538,1.0,rebound_validity,expq1,placement_only,1.0,1.0,0,
