action_sequence,degradation_auc_loss,degradation_l_bd,degradation_p_cliff,episode_id,ge_audc_f,ge_boundary_hit,ge_boundary_lambda_star,ge_cell_missing_reason,ge_cell_valid,ge_contract_margin_min,ge_hard_boundary_hit,ge_valid_lambda_coverage,instruction,rebound_baseline_loaded,rebound_baseline_match_level,rebound_c_rec,rebound_c_rec_cog,rebound_c_rec_missing_reason,rebound_c_rec_phy,rebound_c_rec_plan,rebound_c_rec_sim,rebound_c_rec_state_debt,rebound_c_rec_valid,rebound_formal_window_count,rebound_g_rec_total,rebound_num_recovery_windows,rebound_raw_window_count,rebound_skipped_window_count,rebound_tracker_window_count,rebound_tracker_window_open_final,rebound_w_rem_star,replanning_count_0,replanning_count_1,run_id,runtime,sim_step_count,stability_beta,stability_beta_action,stability_beta_neighborhood,stability_beta_neighborhood_missing_reason,stability_beta_neighborhood_valid,stability_beta_out,stability_beta_progress,stability_beta_scope,stability_beta_success,stability_beta_vv,stability_clean_ref_strategy,stability_clean_ref_valid,stability_n_clean_ref,stability_p_cbf,stability_value_delta_variance,task_percent_complete,task_state_success
"agent0:PerceptionScanTool[None]|agent1:PerceptionScanTool[None]|agent0:Navigate[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_fire_truck_0, chest_of_drawers_36]|agent1:Wait[None]|agent0:Rearrange[toy_fire_truck_0, on, chest_of_drawers_36, None, None]|agent1:Wait[None]|agent0:Rearrange[stuffed_toy_4, on, bed_22, None, None]|agent1:Wait[None]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Navigate[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_food_2, on, chest_of_drawers_38, None, None]|agent1:Wait[None]|agent0:Rearrange[toy_food_3, on, chest_of_drawers_38, None, None]|agent1:Wait[None]|agent0:Rearrange[toy_food_1, on, chest_of_drawers_38, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",1580.0,,1.0,79,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the toy fire truck to the chest of drawers. Put the toy food items in a new chest of drawers. Place the stuffed toy on the bed.,1.0,exact,26.955616292316634,55.32815901167265,,30.413792054696824,,,0.0,1.0,1.0,781.7128994327987,1.0,1.0,0.0,1.0,0.0,29.0,11.0,11.0,0,367.4758107662201,1579.0,0.8329864574593787,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.00025015237042680383,1.0,1.0
"agent0:Rearrange[sushi mat, table_14]|agent1:Wait[None]|agent0:Explore[kitchen_1]|agent1:Wait[None]|agent0:Rearrange[sushi_mat_0, on, table_14, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",1089.0,,1.0,127,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the sushi mat from the kitchen counter to the living room table.,1.0,exact,19.884921663223032,37.53505617695208,,29.51724036147447,,,0.0,1.0,1.0,576.6627481183896,1.0,1.0,0.0,1.0,0.0,29.0,4.0,4.0,0,168.77734422683716,1088.0,0.7030258299064478,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.002026157220825553,1.0,1.0
"agent0:Navigate[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_food_1, chest_of_drawers_36]|agent1:Rearrange[toy_fire_truck_0, chest_of_drawers_36]|agent0:Rearrange[toy_food_1, on, chest_of_drawers_36, None, None]|agent1:Rearrange[toy_fire_truck_0, on, chest_of_drawers_36, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_fire_truck_0, on, chest_of_drawers_36, None, None]|agent0:Done[None]|agent1:Done[None]",520.0,,1.0,78,0.0,0.0,,,0.0,0.0,0.0,0.0,Put the toy food and the toy fire truck on the other chest of drawers in the bedroom.,1.0,exact,5.782062432989384,13.672988034264781,,2.068965445897743,,,0.20689654458977425,1.0,1.0,167.67981633875456,1.0,1.0,0.0,1.0,0.0,29.0,5.0,5.0,0,133.02757668495178,518.0,0.7370414767335411,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,18.0,0.01568513736128807,1.0,1.0
"agent0:Rearrange[sushi mat, table_29]|agent1:Rearrange[ramekin, table_29]|agent0:Rearrange[sushi mat, on, table_29, None, None]|agent1:Rearrange[ramekin, on, table_29, None, None]|agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Rearrange[sushi_mat_0, on, table_29, None, None]|agent1:Rearrange[ramekin_1, on, table_29, None, None]|agent0:Wait[None]|agent1:Rearrange[ramekin_1, on, table_29, None, None]|agent0:Rearrange[spoon_2, on, table_29, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",1413.0,,1.0,60,0.0,0.0,,,0.0,0.0,0.0,0.0,"Move the sushi mat, ramekin, and spoon from the dining room table to the entryway table.",1.0,exact,136.84268551006966,242.49987875006062,,238.99988050005973,,,1.1666660833336249,1.0,1.0,273.68550786282486,1.0,1.0,0.0,1.0,0.0,2.0,7.0,7.0,0,245.29871797561646,1410.0,0.7337125295987124,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,51.0,0.0009535900899209082,1.0,1.0
"agent0:Rearrange[stuffed_toy, chair_32]|agent1:Rearrange[toy_pineapple, chair_33]|agent0:Explore[dining_room_1]|agent1:Explore[living_room_1]|agent0:Rearrange[stuffed_toy_0, on, chair_32, None, None]|agent1:Rearrange[toy_pineapple_1, on, chair_33, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_pineapple_1, on, chair_33, None, None]|agent0:Done[None]|agent1:Done[None]",986.0,,1.0,81,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the stuffed toy and toy pineapple from the dining room to the living room. Place them on a chair.,1.0,exact,9.737381175445526,5.052298676357517,,19.172413131985753,,,0.44827584661117786,1.0,1.0,282.38406382530144,1.0,1.0,0.0,1.0,0.0,29.0,5.0,5.0,0,138.82065653800964,984.0,0.7363626980139678,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,39.0,0.000888101989403367,1.0,1.0
"agent0:Rearrange[kettle, stool_18]|agent1:Rearrange[potato, stool_18]|agent0:Navigate[counter_34]|agent1:Wait[None]|agent0:Rearrange[kettle_0, on, stool_18, None, None]|agent1:Rearrange[potato_1, on, stool_19, None, None]|agent0:Wait[None]|agent1:Rearrange[potato_1, on, stool_19, None, None]|agent0:Done[None]|agent1:Done[None]",914.0,,1.0,80,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the kettle and potato from the counter to the stool in the kitchen.,1.0,exact,12.751903924964001,25.845401407629822,,14.20689606183117,,,0.9080459456995642,1.0,1.0,369.80522657586,1.0,1.0,0.0,1.0,0.0,29.0,5.0,5.0,0,177.3063805103302,912.0,0.6959588383287475,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,79.0,0.0018381474073976278,1.0,1.0
agent0:Done[None]|agent1:Done[None],1.0,,0.0,126,0.0,0.0,,,0.0,0.0,0.0,0.0,"Help me create a relaxing atmosphere in the living room. Place the phone and phone stand on the coffee table, next to each other.",1.0,none,0.0,0.0,,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,2.7784016132354736,0.0,0.4,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
"agent0:Rearrange[toy_vehicle_0, table_16]|agent1:Rearrange[toy_animal_0, table_16]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_vehicle_0, on, table_16, None, None]|agent1:Rearrange[toy_animal_2, on, table_16, next_to, toy_vehicle_0]|agent0:Wait[None]|agent1:Rearrange[toy_animal_2, on, table_16, next_to, toy_vehicle_0]|agent0:Done[None]|agent1:Done[None]",1066.0,,1.0,125,0.0,0.0,,,0.0,0.0,0.0,0.0,Help me tidy up the bedroom. Move the toy vehicle and toy animal from the chest of drawers to the table. Place them next to each other. Leave the toy construction set where it is.,1.0,exact,12.423623987185122,24.78423356439007,,15.243242831263709,,,0.08108107888970058,1.0,1.0,459.6740999494735,1.0,1.0,0.0,1.0,0.0,37.0,5.0,5.0,0,197.82349610328674,1064.0,0.7246703685930063,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,9.0,0.005766058340668678,1.0,1.0
"agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Place[plate_0, on, table_21]|agent1:Wait[None]|agent0:Pick[plate_0]|agent1:Pick[glass_4]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Pick[plate_0]|agent1:Wait[None]|agent0:Pick[plate_1]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Place[plate_0, on, table_21]|agent1:Pick[glass_4]|agent0:Navigate[dining_room_1]|agent1:Navigate[kitchen_1]|agent0:Place[plate_0, on, table_21]|agent1:Pick[glass_4]|agent0:Navigate[dining_room_1]|agent1:Navigate[kitchen_1]|agent0:Place[plate_0, on, table_21]|agent1:Pick[glass_4]|agent0:Navigate[dining_room_1]|agent1:Navigate[kitchen_1]|agent0:Place[plate_0, on, table_21]|agent1:Pick[glass_4]|agent0:Navigate[dining_room_1]|agent1:Navigate[kitchen_1]|agent0:Place[plate_0, on, table_21]|agent1:Navigate[dining_room_1]|agent0:Navigate[dining_room_1]|agent1:Navigate[dining_room_1]|agent0:Place[plate_0, on, table_21]|agent1:Place[glass_4, on, table_21]|agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Place[plate_0, on, table_21]|agent1:Place[glass_4, on, table_21]|agent0:Rearrange[plate_0, on, table_21]|agent1:Rearrange[glass_4, on, table_21]|agent0:Navigate[dining_room_1]|agent1:Navigate[dining_room_1]|agent0:Place[plate_0, on, table_21, None, None]|agent1:Place[glass_4, on, table_21, None, None]|agent0:Wait[None]|agent1:Navigate[dining_room_1]|agent0:Navigate[kitchen_1]|agent1:Place[glass_4, on, table_21]|agent0:Navigate[dining_room_1]|agent1:Navigate[dining_room_1]|agent0:Wait[None]|agent1:Place[glass_4, on, table_21]|agent0:Navigate[kitchen_1]|agent1:Rearrange[glass_4, on, table_21, None, None]|agent0:Wait[None]|agent1:Place[glass_4, on, table_21, None, None]|agent0:Pick[plate_1]|agent1:Navigate[dining_room_1]|agent0:Navigate[kitchen_1]|agent1:Navigate[dining_room_1]|agent0:Pick[plate_1]|agent1:Navigate[kitchen_1]|agent0:Navigate[kitchen_1]|agent1:Navigate[dining_room_1]|agent0:Pick[plate_1]|agent1:Navigate[kitchen_1]|agent0:Navigate[dining_room_1]|agent1:Navigate[kitchen_1]|agent0:Place[plate_1, on, table_21, None, None]|agent1:Navigate[kitchen_1]|agent0:Place[plate_1, on, table_21, None, None]|agent1:Navigate[kitchen_1]|agent0:Navigate[dining_room_1]|agent1:Navigate[dining_room_1]|agent0:Place[plate_1, on, table_21, None, None]|agent1:Pick[glass_5]|agent0:Rearrange[plate_1, on, table_21, None, None]|agent1:Rearrange[glass_5, on, table_21, None, None]|agent0:Wait[None]|agent1:Navigate[kitchen_1]|agent0:Place[plate_1, on, table_21, None, None]|agent1:Navigate[dining_room_1]|agent0:Rearrange[plate_1, on, table_21, None, None]|agent1:Wait[None]|agent0:Rearrange[plate_1, on, table_21, None, None]|agent1:Navigate[dining_room_1]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Place[plate_1, on, table_21, None, None]|agent1:Navigate[dining_room_1]|agent0:Wait[None]|agent1:Navigate[kitchen_1]|agent0:Navigate[dining_room_1]|agent1:Pick[glass_5]|agent0:Wait[None]|agent1:Navigate[kitchen_1]|agent0:Navigate[dining_room_1]|agent1:Pick[glass_5]|agent0:Wait[None]|agent1:Navigate[dining_room_1]|agent0:Navigate[kitchen_1]|agent1:Place[glass_5, on, table_21, None, None]|agent0:Pick[fork_10]|agent1:Navigate[kitchen_1]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Pick[fork_10]|agent1:Navigate[kitchen_1]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Pick[fork_10]|agent1:Navigate[kitchen_1]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Pick[fork_11]|agent0:Rearrange[fork_10, on, table_21, None, None]|agent1:Navigate[kitchen_1]|agent0:Done[None]|agent1:Done[None]",2378.0,,1.0,129,0.0,0.0,,,0.0,0.0,0.0,0.0,"Help me set the table for 2 people in the dining room. Place 2 plates, 2 glasses, and 2 forks at each setting, and make sure to place them next to each other.",1.0,exact,50.6815293051948,98.25061019097828,,84.44962786067947,,,2.043952933085203,1.0,25.0,1411.4078201836276,25.0,25.0,0.0,25.0,0.0,31.26,62.0,62.0,0,1529.0408866405487,2372.0,0.3390505714163888,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,124.0,0.002882713684812188,0.6,0.0
"agent0:Rearrange[cushion, chair_28]|agent1:Rearrange[toy construction set, table_10]|agent0:Wait[None]|agent1:Wait[None]|agent0:Explore[bedroom_1]|agent1:Explore[living_room_1]|agent0:Wait[None]|agent1:Wait[None]|agent0:Rearrange[cushion, on, chair_28, None, None]|agent1:Rearrange[toy construction set, on, table_10, None, None]|agent0:Explore[bedroom_1]|agent1:Explore[living_room_1]|agent0:Explore[bedroom_2]|agent1:Explore[bedroom_1]|agent0:Explore[bedroom_2]|agent1:Explore[bedroom_1]|agent0:Pick[cushion]|agent1:Pick[toy construction set]|agent0:Explore[bedroom_2]|agent1:Explore[living_room_1]|agent0:Rearrange[cushion_0, on, chair_28, None, None]|agent1:Rearrange[toy_construction_set_1, on, table_10, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_construction_set_1, on, table_10, None, None]|agent0:Done[None]|agent1:Done[None]",3496.0,,1.0,1,0.0,0.0,,,0.0,0.0,0.0,0.0,Help me move the cushion from the bedroom chair to the living room chair. Move the toy construction set from the bedroom table to the living room table.,1.0,exact,339.80622587447294,11.67240803716102,,842.3961500296294,,,0.04597700990883873,1.0,2.0,1134.4812306663246,2.0,2.0,0.0,2.0,0.0,15.5,13.0,13.0,0,790.2934782505035,3489.0,0.7081880775163047,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,4.0,0.0001875362650025636,1.0,1.0
